desagradar desaguar
leste estepa
rigidez frígido
tupefato estupendo
vestido estido
xceto excesivo
énfasis ênfase
íssil misión
órmula fornicación
úcleo nudismo
únebre funeral
úria furibundo
útero útero
útil futilidad
úvula úvula
úrico úrico
úpcias nutrición
úplica suplicar
único único
últiplo multitud
úmero numeroso
úncio nupcial
úmbeo plumero
úlcera ulceración
último ultrajar
údito subdividir
óvel mueca
ômade nomadismo
úbere ufanía
úbito subjefe
ônibus omnipotencia
óvulo oxidar
óxido oxigenar
óssil fotocopia
ótimo opuesto
ósculo oscurecer
ósseo oso
óculos gaita
ópera operación
órdico norma
órgão orgía
órdido sordina
óptico optimista
órbita orca
óptica óptico
ópico tropiezo
ódulo nogal
ólido soliloquio
ólito sollozar
óleo oler
ódio odioso
ódico sodio
ñeque alente
óbice obispado
óbrio socapa
ócio ociosidad
óbito obituario
ó muelle
ível nivelar
íveo noble
ívio trocar
ítido nitrógeno
ítio sito
ístole sitiar
ímpar imparcialidad
ínfimo infinidad
íntimo intolerable
íris ironía
ísero misil
ísmico sismógrafo
íquel nitidez
írio siroco
íope miopía
ínseco introducción
íntegro intelecto
íntese sintético
ínodo sinónimo
índio indirecto
índole indolencia
índrome sinecura
ímã imbatible
índice indicio
índico síndrome
ímpio implantación
ímprobo impropio
ímpeto impío
ético etnia
ícone iconoclasta
ílaba silbar
ímbolo simbología
ímio simpatía
ífilis sifilítico
ígneo ignición
ídolo idoneidad
íduo triedro
êxito éxodo
êxtase extender
íade triangulación
êxodo exorbitante
êmen semental
êmola sempiterno
évoa nieto
época época
érie seriedad
ética ético
ério sermón
éptuplo sepulcro
équito ser
éptico septiembre
épico épico
épido intriga
yugular jugular
ábaco ábaco
ángel anjo
ártico ártico
átono átono
ãe madreperla
éculo signar
élite lite
ão manojo
ázimo ázimo
ândalo sandez
ânscrito santidad
áureo áureo
áurio saxo
ástico plata
átira satírico
átiro satisfacción
ático ático
áspero áspero
ástica plástico
árvore arbóreo
árduo área
ária aridez
árido ariete
ármore marmota
área arenga
árabe arabesco
árbitro árbol
ángulo ângulo
áquina maquinación
ágata ágata
álbum álbum
álveo álveo
ámbito âmbito
ánfora ânfora
ámbar âmbar
álgebra álgebra
álgido álgido
álcali álcali
águila águia
álamo álamo
ágil ágil
ágio plan
ágico magistrado
ácido ácido
áfia mafioso
ágape ágape
ácula madeja
ádico sadismo
ábio sable
ácaro ácaro
ábado sábana
zarabanda arabanda
zorro raposa
zumbador zumbidor
zurrar curtir
zurrón urrão
zángano zangão
zutano icrano
zurriago látego
zunir zumbir
zurcir coser
zurdo canhoto
zurcidor cerzidor
zumbido zumbido
zumo umo
zumbar zumbir
zoófago zoófago
zueco tamanco
zumba guizo
zoófito zoófito
zozobra oçobro
zozobrar oçobrar
zote zote
zigzag ziguezague
zoo zôo
zootecnia zootecnia
zootomía zootomia
zoolatría zoolatria
zoológico zoológico
zoografía zoografia
zodiacal zodiacal
zona zona
zonal zonal
zodíaco zodíaco
zircón zircão
zoco canhoto
zigzaguear ziguezaguear
zarza arça
zarzaparrilla alsaparrilha
zepelín zepelim
zigoto zigoto
zenit zênite
zarzamora amora
zarzamoral amoreiral
zarzal arçal
zarina czarina
zarista czarista
zarpar zarpar
zarismo czarismo
zaraza araça
zarco zarco
zarandajas quinquilharias
zambullida ergulho
zapatear apatear
zapatería apataria
zapato apato
zar czar
zapatilla apatilha
zapateo apateada
zapatero apateiro
zancajo calcanhar
zapapico picareta
zapateado apateado
zanja scavação
zanahoria cenoura
zancada pernada
zambullir ergulhar
zafra afra
zahorí idente
zambomba zabumba
zambra zambra
zambo zambo
zagala zagala
zaguán aguão
zagal zagal
yuxtaposición justaposição
yuyuba jujube
zafiro afira
yuyo joio
yunta junta
yuso abaixo
yunque bigorna
xperiência experimento
xántico xântico
yerba rva
yoga ioga
yudo judô
yugo canga
yugoslavo iugoslavo
yudoca judoca
yogur iogurte
yuca andioca
yoglar jogral
yerto hirto
yeso gesso
yodo iodo
yesca isca
yerno genro
yerro rro
yermo rmo
yanqui ianque
yegua égua
yema gema
yen iene
yelmo lmo
yate iate
yedra hera
yarda jarda
yacer jazer
yacimiento jazida
yaguar jaguar
yaciente jacente
ya já
yacaré jacaré
xícara té
xtensão extensivo
xtradição extraditar
xtraviado extraviar
xtremidade extremo
